work_year,,salary_in_usd
2020,Mean,102250.86666666667
2020,Median,79833.0
2020,Mode,47899.0
2020,IQR,69653.0
2020,Std Dev,82722.30948102134
2020,Range,435000.0
2020,Skewness,2.281201863792031
2020,Kurtosis,6.140884623964448
2021,Mean,99922.07339449541
2021,Median,83872.0
2021,Mode,150000.0
2021,IQR,84656.0
2021,Std Dev,67072.0304511688
2021,Range,408000.0
2021,Skewness,1.5054120257709545
2021,Kurtosis,3.752761735633279
2022,Mean,134146.4714027694
2022,Median,131300.0
2022,Mode,100000.0
2022,IQR,77200.0
2022,Std Dev,57769.40744633909
2022,Range,415967.0
2022,Skewness,0.5055526360588014
2022,Kurtosis,0.8965650984964091
2023,Mean,153682.16037071796
2023,Median,145000.0
2023,Mode,150000.0
2023,IQR,80796.5
2023,Std Dev,65393.13436795232
2023,Range,734320.0
2023,Skewness,1.035468580979822
2023,Kurtosis,4.4342584589480385
2024,Mean,159589.55776738806
2024,Median,148945.0
2024,Mode,160000.0
2024,IQR,92000.0
2024,Std Dev,73585.57532299917
2024,Range,784893.0
2024,Skewness,1.2362869854178198
2024,Kurtosis,3.9263844898940756
2025,Mean,157018.98258516882
2025,Median,145100.0
2025,Mode,150000.0
2025,IQR,92114.75
2025,Std Dev,75599.01272389914
2025,Range,784843.0
2025,Skewness,1.4527060619272305
2025,Kurtosis,5.222481585982421
